"word_from","ar","de","es","fr","it","ja","ko","pt"
"35 min. by bus to CEL","35 دقيقة في الباص الى المعهد CEL","35 Minuten Busfahrt zu CEL","35 min en bus de CEL","35 minutes en bus jusqu'au CEL","35 minuti di bus dal CEL","CELまでバスで35分","CEL까지 버스로 35분","35 minutos de ônibus até a CEL"
"4 hours of Surfing per Week","4 ساعات لحصص اضافيه في الاسبوع","","4 horas de surf a la semana","4 leçons de surf par semaine","4 ore di surf/settimana","サーフィン 4時間/週","서핑수업 4시간/주","4 horas de surf por semana"
"4 sessions/year","4 فصول بالسنه","4 Termine pro Jahr","4 sesiones al año","4 sessions par an","4 sessioni all'anno","4セッション/年","연간 4회 세션","4 sessões por ano"
"Academic English for college success","","Akademisches Englisch als Vorbereitung","","","","大学成功のためのアカデミック英語","",""
"Add a highlight to your CV","التركيز والاضافه في السيرة الذاتية","Absolutes Highlight im Lebenslauf","Mejora tu currículum","Ajoutez un point fort à votre CV","Aggiungi un punto di forza al tuo CV","履歴書を目立たせる","이력서에 도움되는 경험 쌓기","Destaque seu currículo"
"Ages 18 and older","الحد الأدنى للعمر هو 18 سنة","Ab 18 Jahren","18 años +","Âge minimum : 18 ans","Età minima: 18 anni","最少年齢:18歳","최소 연령: 18세","Idade mínima: 18 anos"
"All levels from Basic to Advanced","جميع المستويات من الأساسي الى المتقدم","Alle Sprachniveaus","Todos los niveles: básico a avanzado","Tous niveaux, du débutant à avancé","Tutti i livelli da base ad avanzato","初級から上級まで、全レベルに対応","기초부터 고급까지 모든 수준의 강좌","Todos os níveis: básico - avançado"
"All levels from basic to advanced","جميع المستويات من الأساسي الى المتقدم","Alle Sprachniveaus","Todos los niveles: básico a avanzado","Tous niveaux, du débutant à avancé","Tutti i livelli da base ad avanzato","基礎から高等レベルまであり","기초부터 고급까지 모든 수준의 강좌","Todos os níveis: do básico ao avançado"
"Amenities","مرافق","Ausstattung","Servicios","Équipements","Servizi","設備","편의시설","Comodidades"
"Apartment Amenities","وسائل الراحة في الشقة","Apartment Ausstattung","Apartment amenities","Équipements de l'appartement","Servizi dell'appartamento","アパートの設備","아파트 내 복합 문화공간","Comodidades do apartamento"
"Apartment Complex Amenities","مرافق مجمع الشقق","Ausstattung Apartmentanlage","Complex amenities","Commodités du complexe d'appartements","Servizi del complesso di appartamenti","集合住宅のアメニティ","아파트 내 복합 문화공간","Comodidades do complexo de apartamentos"
"Apartment Premium","","","Apartamento Premium","","","","",""
"Available in different fields","تطوع متاح في مختلف المجالات","Sozialarbeit & Umweltschutz","Disponible en diferentes campos","Disponible dans différents domaines","Disponibile in diversi ambiti","異なる分野","다양한 분야 체험 가능","Disponível em diferentes áreas"
"Breakfast or breakfast & dinner","فطور فقط او فطور وعشاء","","","Petit-déjeuner ou demi-pension","Colazione o colazione e cena","朝食のみか朝食と夕食","아침 또는 아침 & 저녁","Café da manhã ou meia-pensão"
"Build career-ready skills","اكتسب مهارات مهنية مهمة","Gewinne Karrierekompetenzen","Adquiere habilidades profesionales","Compétences clés pour votre carrière","Acquisisci competenze professionali","キャリアに役立つスキルを身につける","커리어에 필요한 역량 강화","Competências para a carreira"
"Business Certificate 23 - BE20+GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3","Business Certificate 23 - BE20 + GE3"
"Business Certificate 24 - BE20+GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4","Business Certificate 24 - BE20 + GE4"
"Business Certificate 28 - BE20+GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8","Business Certificate 28 - BE20 + GE8"
"Business, AI, Project Management","ريادة الأعمال، الذكاء الاصطناعي، التواصل،","Business, KI, Projektmanagement","Negocios, IA, Gestión de Proyectos","Entrepreneuriat, IA et Projets","Imprenditorialità, IA e Progetti","ビジネス、AI、プロジェクト管理","창업, AI, 커뮤니케이션, 프로젝트","Empreendedorismo, IA e Gestão"
"Business, Hospitality, Sales & Marketing. IT & Web Design, Non-Profit","","","Negocios, hostelería, ventas y marketing. informática y diseño, orgqanizaciones sin fines de lucro","","","","",""
"CEL Shared Apartment Premium","","CEL WG Premium","CEL Apartamento compartido Premium","","","","",""
"CEL Shared Apartment Premium Beach","","CEL WG Premium Strand","CEL Apartamento Comp. Premium Beach","","","","",""
"CEL Shared Apartment Standard","","CEL WG Standard","CEL Apartamento compartido Estándar","","","","",""
"CEL Shared Apartment Superior Pacific Beach","","CEL WG Superior Pacific Beach","CEL Apartamento Compartido Superior PB","","","","",""
"Cambridge Exam","","Cambridge Vorbereitung","Preparación Cambridge","","","","",""
"Cambridge Exam Preparation 23 - GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3","Cambridge Exam Preparation GE20+CAE3"
"Cambridge Exam Preparation 24 - GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4","Cambridge Exam Preparation GE20+CAE4"
"Cambridge Exam Preparation 28 - GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4","Cambridge Exam Preparation GE24+CAE4"
"Can be combined with other courses","حصص شخصية يمكن دمجها مع الفئات الاخرى","","","Peut être combiné avec d'autres cours","Prenotabile con qualsiasi corso","他のコースと組み合わせ可能","다른 수업과 추가하여 학습 가능","Reservável além do curso em grupo"
"Check-in","","Check-in Prozess","Regístrese","Enregistrement","","","체크인",""
"Cleaning, Bedding, Towels and more","تنظيف","Reinigung, Bettwäsche, Handtücher","Limpieza","Nettoyage, literie et serviettes","Pulizia","清掃、寝具","청소","Limpeza, roupa de cama e toalhas"
"Designated academic advisor","دعم اكاديمي اضافي","Unterstützung durch Mentor","Soporte académico adicional","Soutien académique supplémentaire","Supporto Accademico Aggiuntivo","追加の学問のサポート","추가적인 학업 지원","Apoio Acadêmico Adicional"
"Develop career-ready skills in AI, business, and management for today’s global workplace.","طوّر مهارات جاهزة للمسار المهني في الذكاء الاصطناعي والأعمال والإدارة لتواكب بيئة العمل العالمية اليوم.","Entwickle berufsrelevante Fähigkeiten in KI, Business und Management für die heutige globale Arbeitswelt.","Desarrolla habilidades profesionales en inteligencia artificial, negocios y gestión para el entorno laboral global actual.","Développez des compétences professionnelles en IA, en affaires et en gestion pour le monde du travail global d’aujourd’hui.","Sviluppa competenze professionali in intelligenza artificiale, business e management per il mondo del lavoro globale di oggi.","現代のグローバルな職場で活躍するために、AI、ビジネス、マネジメントのキャリア対応スキルを身につけましょう。","오늘날의 글로벌 직장에서 성공하기 위해 AI, 비즈니스 및 경영 분야의 실무 역량을 개발하세요.","Desenvolva habilidades profissionais em IA, negócios e gestão para o ambiente de trabalho global de hoje."
"Distance","المسافة","Entfernung","Distancia","","Distanza","距離","거리","Distância"
"Do good, feel good!","عمل جيد , شعور جيد","Engagiere Dich und bewirke Gutes!","Haz el bien, siéntete bien","Fais le bien, sens-toi bien!","Fai del bene, sentiti bene","良いことをすると、気分がいい！","함께 하면 기쁨이 두 배 !","Faça o bem, se sinta bem"
"Elective class","دورة اختياريه","Zusatzklasse","Clases de libre eleccion","Cours facultatif","Corso elettivo","選択授業","선택 수업 가능","Aula eletiva"
"English Plus Surfing","","English Plus Wellenreiten","","","","","",""
"English Plus TOEFL Exam Preparation","English Plus TOEFL Exam","English Plus TOEFL Exam","English Plus TOEFL Exam","English Plus TOEFL Exam","English Plus TOEFL Exam","English Plus TOEFL Exam","English Plus TOEFL Exam","English Plus TOEFL Exam"
"Enhance your English while working","تعزيز لغتك الإنجليزية أثناء العمل","Arbeite und verbessere dein English.","Mejora tu inglés mientras trabajas","Améliore ton anglais travaillant","Pratica il tuo inglese al lavoro","働くことによって英語を上達させる","비즈니스 영어 습득하기","Melhore seu inglês no trabalho"
"For all English and for all surf levels","","Für alle Englisch- und Surfniveaus","Para todos los niveles de inglés y de surf","Pour tous les niveaux d'anglais et de surf","Per tutti i livelli di inglese e di surf","","","Para todos os níveis de inglês e surfe"
"Free Wi-Fi","English","Kostenloses WLAN","Wifi gratis","Wi-Fi gratuit","Wi-Fi gratuito","","무료 Wi-Fi","Wi-Fi grátis"
"Free Wi-Fi, Rooftop terrace with BBQ area","واي فاي مجاني، تراس على السطح مع منطقة شواء","Kostenloses WLAN, Dachterrasse mit Grillbereich","Wi-Fi gratis, terraza en la azotea con área de barbacoa","Wi-Fi gratuit, terrasse sur le toit avec espace barbecue","Wi-Fi gratuito, terrazza sul tetto con area barbecue","無料Wi-Fi、屋上テラスとバーベキューエリア","무료 와이파이, 루프탑 테라스와 바비큐 공간","Wi-Fi gratuito, terraço na cobertura com área de churrasqueira"
"Free Wi-Fi, TV per bedroom, full kitchen with dishwasher, no common space","","Fernseher pro Schlafzimmer, Küche, kein Gemeinschaftsraum","Wi-Fi gratis, TV por habitación, cocina totalmente equipada con lavavajillas, sin espacio común","","","","무료 Wi-Fi, 침실 당 TV, 식기 세척기가 구비된 풀 주방, 공용 공간 없음",""
"Free Wi-Fi, full kitchen with dishwasher","","Kostenloses WLAN, vollausgestattete Küche mit Spülmaschine","Wi-Fi gratis, cocina totalmente equipada con lavavajillas","","","","무료 Wi-Fi, 식기 세척기가 구비된 풀 주방",""
"From $330 per week","يبدا من 330 الاسبوع","","","À partir de 330$ par semaine","A partire da $330/settimana","$330/週 から","$330/주 부터","A partir de $330 por semana"
"From $350/Week","From $350/week","Ab $350/Woche","De $350/Semana","À partir de $350/semaine","A partire da $350/week","From $350/week","From $350/week","A partir de $350/week"
"From $390/Week","From $390/week","Ab $390/Woche","De $390/Semana","À partir de $390/semaine","A partire da $390/week","From $390/week","From $390/week","A partir de $390/week"
"From $400/Week","From $400/week","Ab $400/Woche","De $400/Semana","À partir de $400/semaine","A partire da $400/week","From $400/week","From $400/week","A partir de $400/week"
"From $460/Week","From $460/week","Ab $460/Woche","De $460/Semana","À partir de $460/semaine","A partire da $460/week","From $460/week","From $460/week","A partir de $460/week"
"From $550/Week","From $550/week","Ab $550/Woche","De $550/Semana","À partir de $550/semaine","A partire da $550/week","From $550/week","From $550/week","A partir de $550/week"
"From $999,999/Week","From $999,999/week","Ab $999,999/Woche","De $999,999/Semana","À partir de $999,999/semaine","A partire da $999,999/week","From $999,999/week","From $999,999/week","A partir de $999,999/week"
"From CA$240 per week","يبدا من 240الاسبوع","","","À partir de 240 CA$ par semaine","A partire da CA$240 /settimana","CA$240 /週 から","CA$240 /주 부터","A partir de CA$240 por semana"
"From CA$350 per week","يبدا من 350الاسبوع","Ab CA$350pro Woche","A partir de CA$350 por semana","À partir de 350 CA$ par semaine","A partire da CA$350 /settimana","CA$350 /週 から","CA$350 /주 부터","A partir de CA$350 por semana"
"From CA$430 per week","يبدا من 430الاسبوع","Ab CA$430 pro Woche","A partir de CA$430 por semana","À partir de 430 CA$ par semaine","A partire da CA$430 /settimana","CA$430 /週 から","CA$430 /주 부터","A partir de CA$430 por semana"
"From CA$440 per week","يبدا من 440الاسبوع","Ab CA$440 pro Woche","A partir de CA$440 por semana","À partir de 440 CA$ par semaine","A partire da CA$440 /settimana","CA$440 /週 から","CA$440 /주 부터","A partir de CA$440 por semana"
"From CA$475 per week","يبدا من 475الاسبوع","Ab CA$475 pro Woche","A partir de CA$475 por semana","À partir de 475 CA$ par semaine","A partire da CA$475 /settimana","CA$475 /週 から","CA$475 /주 부터","A partir de CA$475 por semana"
"From CA$580 per week","يبدا من 580الاسبوع","Ab CA$580 pro Woche","A partir de CA$580 por semana","À partir de 580 CA$ par semaine","A partire da CA$580 /settimana","CA$580 /週 から","CA$580 /주 부터","A partir de CA$580 por semana"
"Full focus on your needs","التركيز الكامل على احتياجاتك","Voller Fokus auf deine Bedürfnisse","Céntrate en tus necesidades","Concentration totale sur tes besoins","Massima attenzione alle tue esigenze","学生の要求を重点的に取り扱う","학생 맞춤화 교육 진행","Foco total nas suas necessidades"
"Full kitchen, fitness room, BBQ, yoga room","Full kitchen with dishwasher, fitness room, BBQ, yoga room","Gemeinschaftsküche, Fitnessraum, Grillbereich, Yogabereich","Cocina totalmente equipada con lavavajillas, gimnasio, BBQ, y sala de yoga","Full kitchen with dishwasher, fitness room, BBQ, yoga room","Full kitchen with dishwasher, fitness room, BBQ, yoga room","Full kitchen with dishwasher, fitness room, BBQ, yoga room","Full kitchen with dishwasher, fitness room, BBQ, yoga room","Full kitchen with dishwasher, fitness room, BBQ, yoga room"
"Gain relevant experience","اكتساب الخبرة ذات الصلة","Sammle Berufserfahrung","Gana experiencia relevante","Acquiers une expérience pertinente","Migliora l'inglese e fai esperienza","英語上達に関する経験を積む","영어 실력 향상과 관련된 경험 쌓기","Ganhe experiência relevante"
"General English 20 & Surfing","الإنكليزية العامة المكثفة وركوب الأمواج (20 + 4)","English & Surfen (20 Lektionen Englisch + 4 Lektionen Surfen/Woche)","","General English Intensive & Surfing (20 + 4)","General English Intensive & Surfing (20 + 4)","General English Intensive & Surfing (20 + 4)","General English Intensive & Surfing (20 + 4)","General English Intensive & Surfing (20 + 4)"
"General English 24 & Surfing","الإنكليزية العامة المكثفة بشكل زائد وركوب الأمواج (24 + 4)","English & Surfen (24 Lektionen Englisch + 4 Lektionen Surfen/Woche)","","General English Intensive Plus & Surfing (24 + 4)","General English Intensive Plus & Surfing (24 + 4)","General English Intensive Plus & Surfing (24 + 4)","General English Intensive Plus & Surfing (24 + 4)","General English Intensive Plus & Surfing (24 + 4)"
"General English 28 & Surfing","الإنكليزية العامة المكثفة بشكل زائد وركوب الأمواج (28 + 4)","English & Surfen (28 Lektionen Englisch + 4 Lektionen Surfen/Woche)","","","","","",""
"General Information","معلومات عامة","Allgemeine Informationen","Información general","Informations générales","Informazioni generali","一般情報","일반 정보","Informações gerais"
"Homestay","","Gastfamilie","Familia anfitriona","","","","",""
"IELTS Preparation","","IELTS Vorbereitung","Preparación IELTS","","","","",""
"Ideal For You","مثالي لك","Ideal für dich","Ideal para ti","Idéal pour toi","Ideale per te","あなたに理想的","","Ideal para você."
"Improve your overall English fluency while developing strong academic communication and writing skills","حسّن طلاقتك العامة في اللغة الإنجليزية أثناء تطوير مهارات قوية في التواصل والكتابة الأكاديمية.","Verbessere deine allgemeine Englischflüssigkeit und entwickle starke akademische Kommunikations- und Schreibfähigkeiten.","Mejora tu fluidez general en inglés mientras desarrollas sólidas habilidades de comunicación y escritura académica.","Améliorez votre aisance générale en anglais tout en développant de solides compétences en communication et en rédaction académiques.","Migliora la tua fluidità generale in inglese sviluppando solide competenze di comunicazione e scrittura accademica.","英語の総合的な流暢さを高めながら、学術的なコミュニケーション力と文章力を伸ばしましょう。","영어 전반의 유창성을 향상시키면서 학문적인 의사소통 및 글쓰기 능력을 강화하세요.","Melhore sua fluência geral em inglês enquanto desenvolve fortes habilidades de comunicação e escrita acadêmica."
"Location","الموقع","Lage","Sitio","Emplacement","Posizione","場所","위치","Localização"
"Managed by CEL","تحت إدارة CEL","","Gestionado por CEL","Géré par le CEL","Gestito dal CEL","CELが管理しています","CEL에 의해 운영됨","Operado pela CEL"
"Max. 35 min by bus to CEL","35 دقيقة في الباص الى المعهد CEL","35 Minuten Busfahrt zu CEL","Máx. 35 min en bus de CEL","35 minutes en bus jusqu'au CEL","35 minuti di bus dal CEL","CELまでバスで35分","CEL까지 버스로 35분","35 minutos de ônibus até a CEL"
"Minimum age is 17 years","الحد الأدنى للعمر هو 17 سنة","Ab 17 Jahren","Edad mínima: 17 años","Âge minimum : 17 ans","Età minima: 17 anni","最少年齢:17歳","최소 연령: 17세","Idade mínima: 17 anos"
"Minimum age is 18 years","الحد الأدنى للعمر هو 18 سنة","Ab 18 Jahren","Edad mínima: 18 años","Âge minimum : 18 ans","Età minima: 18 anni","最少年齢:18歳","최소 연령: 18세","Idade mínima: 18 anos"
"Most families provide Wifi","توفر معظم العائلات خدمة الواي فاي المجانية","Fast alle Familien bieten kostenloses WLAN","La mayoría de familias ofrecen Wi-fi gratis","La plupart des familles offrent le Wi-Fi gratuit","La maggior parte delle famiglie offre Wi-Fi gratuito","ほとんどの家族がfree Wi-Fi有り","대부분의 호스트 가족들은 무료 Wi-Fi를 제공","A maioria das famílias oferece Wi-Fi gratuito"
"New courses start every Monday","حصص جديدة لكل أيام الأثنين","Neue Kurse starten jeden Montag","Cursos nuevos cada lunes","Nouveaux cours chaque lundi","Nuovi corsi ogni lunedì","毎週月曜日 新しいコース","매주 월요일마다 새로운 강좌 준비","Novos cursos toda Segunda-feira"
"No surf experience required","لا يشترط وجود خبرة في ركوب الأمواج","","No se requiere experiencia con el surf","Aucune expérience de surf requise","Non è richiesta esperienza di surf","サーフィンの経験は必要なし","서핑 경험 없이도 참여 가능","Não é necessária experiência com surf"
"Pool, BBQ area, fitness center, 5 min walk to Santa Monica Beach","","Pool, Grillbereich, Fitnesscenter, 5 Min zu Fuss zum Strand","Piscina, zona de BBQ, gimnasio, 5 min a pie de la playa de Santa Monica","","","","수영장, 바비큐 공간, 피트니스 센터, 산타모니카 해변까지 도보 5분 거리",""
"Pool, BBQ, small fitness room, jacuzzi","Fill kitchen, pool, BBQ, fitness room, jacuzzi","Pool, Grillbereich, Jacuzzi & Fitnessraum","Piscina, BBQ, gimnasio, jacuzzi","Cuisine entièrement équipée, piscine, barbecue, salle de sport, jacuzzi","Cucina completamente attrezzata, piscina, barbecue, palestra, jacuzzi","設備の整ったキッチン、プール、バーベキュー設備、フィットネスルーム、ジャグジー","완비된 주방, 수영장, 바비큐 시설, 피트니스룸, 자쿠지","Cozinha totalmente equipada, piscina, churrasqueira, sala de ginástica, jacuzzi"
"Pool, BBQ, tennis, basketball, beach volleyball, and fitness","Full kitchen, pool, BBQ area, tennis and basketball courts, beach volleyball, fitness","Pool, Grillbereich, Fitness, Tennis, Jacuzzi & Beachvolleyball","Piscina, zona BBQ, tennis, baloncesto, voley, gimnasio","Cuisine entièrement équipée, piscine, barbecue, salle de sport, jacuzzi","Piscina, area barbecue, fitness, campi da tennis e campo da beach volley","設備の整ったキッチン、プール、バーベキュー設備、フィットネスルーム、ジャグジー","완비된 주방, 수영장, 바비큐 시설, 피트니스룸, 자쿠지","Cozinha totalmente equipada, piscina, churrasqueira, sala de ginástica, jacuzzi"
"Premium Homestay","","Gastfamilie Premium","Familia anfitriona Premium","","","","",""
"Preparation for College & University","","Vorbereitung für Fachhochschule/Uni","Preparación para la universidad","Préparation pour collège/université","Migliore preparazione universitaria","大学入学の準備","대학 입학 준비를 위한 최상의 프로그램","Preparação para Universidade"
"Prepare for Cambridge exam","Prepare for Cambridge Exam","Cambridge-Examen-Vorbereitung","Preparación exámenes de Cambridge","Prépare-toi pour l'examen FCE/CAE","Preparazione all'esame Cambridge","ケンブリッジ試験の準備","케임브리지 시험 준비","Preparação para o exame Cambridge"
"Private bathroom","","Eigenes Badezimmer","Baño privado","Salle de bain privée","Bagno privato","専用バスルーム","","Banheiro privativo"
"Private lessons","دروس خصوصية","Einzelunterricht","Clases particulares","Leçons privées","Lezioni Private","プライベートレッスン","","Aulas particulares"
"Project based learning","التعلم القائم على المشروع","Projektbezogenes Lernen","Aprendizaje por proyectos","Apprentissage par projets","Apprendimento basato su progetti","プロジェクト型学習 (PBL)","다양한 프로젝트 기반으로 학습진행","Aprendizagem baseada em projetos"
"Room type","نوع الغرفة","Zimmer","Habitación","Type de chambre","Tipo di camera","部屋の種類","객실 유형","Tipo de quarto"
"Shared Apartment Comfort","","Gemeinschaftswohnung Comfort","Apartamento Compartido Comfort","","","","",""
"Shared Apartment Economy","","","Apartamento Compartido Economy","","","","",""
"Shared Apartment GEC Viva","Residence Standard YWCA","Residence Standard YWCA","Residence Standard YWCA","Residence Standard YWCA","Residence Standard YWCA","Residence Standard YWCA","Residence Standard YWCA","Residence Standard YWCA"
"Shared Apartment Standard","","Gemeinschaftswohnung Standard","Apartamento compartido Estándar","","","","",""
"Shared bathroom","English","Geteiltes Badezimmer","Baño compartido","Salle de bain partagée","Bagno in comune","シェアバスルーム","공용 욕실","Banheiro compartilhado"
"Single and double rooms","English","","","Chambres individuelles et doubles","Stanze singole e matrimoniali","シングルルーム、ダブルルーム","싱글 및 더블 객실","Quartos individuais e duplos"
"Single and double rooms with a shared bathroom","","Einzel- und Doppelzimmer mit geteiltem Badezimmer","Habitaciones individuales y dobles con baño compartido","Chambres individuelles et doubles avec salle de bain partagée","Camere singole e doppie con bagno in comune","共用バスルーム付きのシングルルーム・ツインルーム","공용 욕실이 있는 싱글룸 및 트윈룸","Quartos individuais e duplos com banheiro compartilhado"
"Single and double rooms with shared bathroom","RT SM","Einzel- und Doppelzimmer mit geteiltem Badezimmer","Habitaciones individuales y dobles con baño compartido","RT SM","RT SM","RT SM","RT SM","RT SM"
"Single and twin rooms (shared bathroom), studios (private bathroom)","غرف فردية ومزدوجة (حمام مشترك)، استوديوهات (حمام خاص)","Einzel- und Zweibettzimmer (Gemeinschaftsbad), Studios (privates Badezimmer)","Habitaciones individuales y twin (baño compartido), estudios (baño privado)","Chambres individuelles et jumelles (salle de bain partagée), studios (salle de bain privée)","Camere singole e doppie (bagno condiviso), monolocali (bagno privato)","シングルルーム・ツインルーム（共用バスルーム）、スタジオ（専用バスルーム）","싱글룸 및 트윈룸 (공용 욕실), 스튜디오 (개인 욕실)","Quartos individuais e duplos (banheiro compartilhado), estúdios (banheiro privativo)"
"Single and twin rooms with a private bathroom","Single and twin rooms with a private bathroom per bedroom","Einzel- und Zweibettzimmer mit eigenem Badezimmer","Habitaciones individuales y twin con baño privado","Chambres individuelles et doubles avec salle de bain privée","Camere singole e doppie con bagno privato","各部屋に専用バスルーム付きのシングルルーム・ツインルーム","각 객실에 전용 욕실이 있는 싱글룸 및 트윈룸","Quartos individuais e duplos com banheiro privativo"
"Single and twin rooms with a shared bathroom","Single and twin rooms with a shared bathoom","Einzel- und Zweibettzimmer mit geteiltem Badezimmer","Habitaciones individuales y twin con baño compartido","Single and twin rooms with a shared bathoom","Single and twin rooms with a shared bathoom","Single and twin rooms with a shared bathoom","공용 욕실이 있는 싱글 및 트윈룸","Single and twin rooms with a shared bathoom"
"Single room","غرفة فردية و مزدوجة","Einzelzimmer","Habitación individual","Chambres individuelles","Stanze singole","シングルルーム","싱글 객실","Quartos individuais"
